Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Tenure,Total_Spend,Total_Purchases,Family_Size,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Cluster
1957,58138.0,0,0,2012-04-09,58,635,88,546,172,88,88,3,8,10,4,7,0,1,69,5096.0,1617,22,1,False,True,False,False,False,False,False,True,False,False,False,1
1954,46344.0,1,1,2014-08-03,38,11,1,6,2,1,6,2,1,1,2,5,0,0,72,4250.0,27,4,3,False,True,False,False,False,False,False,True,False,False,False,2
1965,71613.0,0,0,,26,426,49,127,111,21,42,1,8,2,10,4,0,0,61,4648.0,776,20,1,False,True,False,False,False,False,False,False,True,False,False,1
1984,26646.0,1,0,2014-10-02,26,11,4,20,10,3,5,2,2,0,4,6,0,0,42,4190.0,53,6,2,False,True,False,False,False,False,False,False,True,False,False,2
1981,58293.0,1,0,,94,173,43,118,46,27,15,5,5,3,6,5,0,0,45,4648.0,422,14,2,False,False,False,True,False,False,True,False,False,False,False,2
1967,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,59,4578.0,716,20,2,False,False,True,False,False,False,False,False,True,False,False,0
1971,55635.0,0,1,,34,235,65,164,50,49,27,4,7,3,7,6,0,0,55,4648.0,590,17,2,False,True,False,False,False,True,False,False,False,False,False,0
1985,33454.0,1,0,2013-08-05,32,76,10,56,3,1,23,2,4,0,4,8,0,0,41,4613.0,169,8,2,False,False,False,True,False,False,True,False,False,False,False,2
1974,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,1,52,4673.0,46,5,2,False,False,False,True,False,False,False,False,True,False,False,2
1950,5648.0,1,1,,68,28,0,6,1,1,13,1,1,0,0,20,0,0,76,4648.0,49,1,3,False,False,False,True,False,False,False,False,True,False,False,2
1983,51381.5,1,0,,11,5,5,6,0,2,1,1,1,0,2,7,0,0,43,4648.0,19,3,2,False,True,False,False,False,False,True,False,False,False,False,2
1976,7500.0,0,0,,59,6,16,11,11,1,16,1,2,0,3,8,0,0,50,4648.0,61,5,1,True,False,False,False,False,False,True,False,False,False,False,2
1959,63033.0,0,0,,82,194,61,480,225,112,30,1,3,4,8,2,0,0,67,4648.0,1102,15,1,False,True,False,False,False,True,False,False,False,False,False,1
1952,59354.0,1,1,,53,233,2,53,3,5,14,3,6,1,5,6,0,0,74,4648.0,310,12,3,False,False,True,False,False,True,False,False,False,False,False,0
1987,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,39,4912.0,46,4,1,False,True,False,False,False,False,True,False,False,False,False,2
1946,82800.0,0,0,,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,80,4648.0,1315,25,1,False,False,False,True,False,False,False,True,False,False,False,1
1980,41850.0,1,1,,51,53,5,19,2,13,4,3,3,0,3,8,0,0,46,4648.0,96,6,3,False,True,False,False,False,False,True,False,False,False,False,2
1946,37760.0,0,0,,20,84,5,38,150,12,28,2,4,1,6,7,0,0,80,4648.0,317,11,1,False,True,False,False,False,False,False,False,True,False,False,0
1949,76995.0,0,1,,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,77,4648.0,1782,24,2,False,False,True,False,False,False,True,False,False,False,False,0
1985,33812.0,1,0,2012-03-11,86,4,17,19,30,24,39,2,2,1,3,6,0,0,41,5125.0,133,6,2,False,False,False,False,False,False,False,True,False,False,False,2
1982,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,44,4975.0,316,11,1,False,True,False,False,False,False,True,False,False,False,False,2
1979,2447.0,1,0,2013-06-01,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,47,4678.0,1730,28,2,False,True,False,False,False,False,True,False,False,False,False,1
1949,58607.0,0,1,,63,867,0,86,0,0,19,3,2,3,9,8,0,0,77,4648.0,972,14,2,False,False,False,True,False,False,True,False,False,False,False,0
1954,65324.0,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,72,4160.0,544,17,2,False,False,False,True,False,False,True,False,False,False,False,0
1951,40689.0,0,1,,69,270,3,27,39,6,99,7,7,1,5,8,0,0,75,4648.0,444,13,2,False,True,False,False,False,False,False,False,True,False,False,0
1969,18589.0,0,0,2013-02-01,89,6,4,25,15,12,13,2,2,1,3,7,0,0,57,4798.0,75,6,1,False,True,False,False,False,False,False,True,False,False,False,2
1976,53359.0,1,1,,4,173,4,30,3,6,41,4,5,1,4,7,0,0,50,4648.0,257,10,3,False,True,False,False,False,False,True,False,False,False,False,2
1986,51381.5,1,0,,19,5,1,3,3,263,362,0,27,0,0,1,0,0,40,4648.0,637,27,2,False,True,False,False,False,False,False,True,False,False,False,1
1989,38360.0,1,0,,26,36,2,42,20,21,10,2,2,1,4,3,0,0,37,4648.0,131,7,2,False,True,False,False,False,False,True,False,False,False,False,2
1965,84618.0,0,0,,96,684,100,801,21,66,0,1,6,9,10,2,0,0,61,4648.0,1672,25,1,False,False,False,True,False,False,True,False,False,False,False,1
1989,10979.0,0,0,,34,8,4,10,2,2,4,2,3,0,3,5,0,0,37,4648.0,30,6,1,False,False,True,False,False,True,False,False,False,False,False,2
1963,38620.0,0,0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,63,4521.0,318,10,1,False,False,True,False,False,False,False,False,True,False,False,2
1970,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,0,56,4912.0,120,7,2,False,True,False,False,False,False,False,False,True,False,False,2
1952,46610.0,0,2,,8,96,12,96,33,22,43,6,4,1,6,6,0,1,74,4648.0,302,11,3,False,False,False,True,False,True,False,False,False,False,False,0
1946,68657.0,0,0,,4,482,34,471,119,68,22,1,3,5,9,7,0,0,80,4648.0,1196,17,1,False,False,True,False,False,False,True,False,False,False,False,1
1951,49389.0,1,1,,55,40,0,19,2,1,3,1,2,0,3,7,0,0,75,4648.0,65,5,3,False,False,True,False,False,False,False,True,False,False,False,2
1970,67353.0,0,1,,37,702,17,151,0,8,35,5,5,6,12,2,0,0,56,4648.0,913,23,2,False,False,False,True,False,False,True,False,False,False,False,0
1976,23718.0,1,0,2013-02-09,76,6,3,14,15,7,36,3,3,1,2,7,0,0,50,4790.0,81,6,2,False,False,False,False,False,False,True,False,False,False,False,2
1973,42429.0,0,1,2014-11-02,99,55,0,6,2,0,4,2,1,1,3,5,0,0,53,4159.0,67,5,2,False,True,False,False,False,False,False,False,False,True,False,2
1943,48948.0,0,0,2013-01-02,53,437,8,206,160,49,42,2,7,10,5,6,0,1,83,4828.0,902,22,1,False,False,False,True,False,True,False,False,False,False,False,1
1980,80011.0,0,1,,3,421,76,536,82,178,102,2,8,6,5,4,0,0,46,4648.0,1395,19,2,False,True,False,False,False,False,True,False,False,False,False,1
1985,20559.0,1,0,2013-12-03,88,13,1,29,3,0,7,2,2,0,3,8,0,0,41,4493.0,53,5,2,False,False,True,False,False,False,True,False,False,False,False,2
1957,21994.0,0,1,,4,9,0,6,3,1,3,1,0,0,3,5,0,0,69,4648.0,22,3,2,False,True,False,False,False,False,False,False,True,False,False,2
1959,51381.5,0,0,2013-05-11,80,81,11,50,3,2,39,1,1,3,4,2,0,0,67,4699.0,186,8,1,False,False,False,True,False,False,False,True,False,False,False,2
