Income,Age,Total_Spend,Total_Purchases,Customer_Tenure,Cluster
58138.0,69,1617,22,5096.0,1
46344.0,72,27,4,4250.0,0
71613.0,61,776,20,4648.0,1
26646.0,42,53,6,4190.0,0
58293.0,45,422,14,4648.0,0
62513.0,59,716,20,4578.0,1
55635.0,55,590,17,4648.0,0
33454.0,41,169,8,4613.0,2
30351.0,52,46,5,4673.0,2
5648.0,76,49,1,4648.0,2
51381.5,43,19,3,4648.0,2
7500.0,50,61,5,4648.0,2
63033.0,67,1102,15,4648.0,1
59354.0,74,310,12,4648.0,0
17323.0,39,46,4,4912.0,2
82800.0,80,1315,25,4648.0,1
41850.0,46,96,6,4648.0,2
37760.0,80,317,11,4648.0,0
76995.0,77,1782,24,4648.0,1
33812.0,41,133,6,5125.0,2
37040.0,44,316,11,4975.0,2
2447.0,47,1730,28,4678.0,1
58607.0,77,972,14,4648.0,1
65324.0,72,544,17,4160.0,0
40689.0,75,444,13,4648.0,0
18589.0,57,75,6,4798.0,2
53359.0,50,257,10,4648.0,2
51381.5,40,637,27,4648.0,1
38360.0,37,131,7,4648.0,2
84618.0,61,1672,25,4648.0,1
10979.0,37,30,6,4648.0,2
38620.0,63,318,10,4521.0,0
40548.0,56,120,7,4912.0,2
46610.0,74,302,11,4648.0,0
68657.0,80,1196,17,4648.0,1
49389.0,75,65,5,4648.0,0
67353.0,56,913,23,4648.0,1
23718.0,50,81,6,4790.0,2
42429.0,53,67,5,4159.0,0
48948.0,83,902,22,4828.0,1
80011.0,46,1395,19,4648.0,1
20559.0,41,53,5,4493.0,2
21994.0,69,22,3,4648.0,2
51381.5,67,186,8,4699.0,0
7500.0,51,31,5,4789.0,2
79941.0,50,984,15,4648.0,1
7500.0,30,122,7,4941.0,2
41728.0,58,55,4,4648.0,2
51381.5,75,124,7,4464.0,0
72550.0,72,1319,19,4972.0,1
65486.0,69,507,16,4126.0,0
79143.0,62,1693,28,4883.0,1
35790.0,49,72,5,4798.0,2
82582.0,49,1617,20,4278.0,1
66373.0,48,606,16,4490.0,0
82384.0,71,1957,26,4648.0,1
70287.0,60,1093,20,4795.0,1
27938.0,38,29,5,4648.0,2
51381.5,44,46,5,4648.0,2
55954.0,58,518,16,4403.0,0
75777.0,44,1438,20,4733.0,1
66653.0,51,612,18,5005.0,1
61823.0,74,884,20,4648.0,1
67680.0,75,606,18,4520.0,0
70666.0,78,1076,15,4667.0,1
25721.0,55,34,4,4648.0,2
32474.0,59,11,3,4156.0,0
88194.0,47,1274,31,4648.0,1
69096.0,68,653,17,4648.0,1
74854.0,56,1562,12,4614.0,1
66991.0,72,1253,18,4882.0,1
51381.5,53,109,6,4648.0,2
65031.0,67,863,26,4648.0,1
60631.0,51,661,19,4706.0,1
28332.0,74,65,7,4648.0,2
40246.0,49,13,3,4648.0,2
75251.0,54,1890,18,4648.0,1
75825.0,50,2209,22,4851.0,1
26326.0,50,18,3,4731.0,2
56046.0,61,692,19,4798.0,1
29760.0,41,165,8,4648.0,2
26304.0,57,16,3,4648.0,2
23559.0,53,79,6,4764.0,2
81361.0,39,778,26,4648.0,1
29440.0,66,56,5,4518.0,0
36138.0,56,151,8,4648.0,2
50388.0,69,372,13,4648.0,0
79593.0,53,1366,18,4126.0,0
54178.0,59,194,9,4648.0,0
51381.5,69,603,17,4648.0,0
51381.5,69,18,3,4648.0,2
51381.5,53,985,14,4648.0,1
42394.0,54,32,4,4648.0,2
23626.0,56,43,7,4648.0,2
30096.0,43,45,5,4648.0,2
47916.0,66,606,17,4648.0,0
51813.0,54,63,5,4522.0,0
78497.0,75,978,24,4818.0,1
50150.0,43,410,14,4648.0,2
47823.0,66,72,5,4648.0,2
34554.0,67,55,5,4648.0,2
85693.0,47,1169,25,4648.0,1
65846.0,81,1120,15,4648.0,1
87195.0,67,1097,19,4248.0,0
24594.0,47,29,4,4545.0,2
49096.0,62,187,9,4648.0,0
52413.0,57,910,22,4797.0,1
38557.0,48,145,7,4648.0,2
89058.0,66,850,13,5002.0,1
77298.0,47,969,23,4788.0,1
68126.0,35,1820,16,4911.0,1
57288.0,63,608,17,4648.0,0
86037.0,35,730,24,4798.0,1
43974.0,46,551,16,4849.0,2
50785.0,64,114,6,4548.0,0
90765.0,56,1724,15,4648.0,1
36550.0,48,577,15,4648.0,2
30753.0,59,81,5,4519.0,2
21918.0,57,33,5,4648.0,2
56129.0,73,660,18,4648.0,1
32557.0,59,80,6,4648.0,2
19510.0,41,30,4,4731.0,2
30992.0,50,43,4,4648.0,2
101970.0,43,1135,27,4493.0,1
71488.0,61,559,14,4648.0,0
79607.0,42,1923,15,4648.0,1
54348.0,73,90,6,4247.0,0
51381.5,65,404,14,4519.0,0
77376.0,70,661,19,4187.0,0
62998.0,74,463,14,4648.0,0
61331.0,68,632,18,4554.0,0
73448.0,57,725,18,4190.0,0
51381.5,63,725,18,4518.0,0
41551.0,62,279,11,4648.0,0
62981.0,59,1482,22,4648.0,1
9548.0,50,29,4,4975.0,2
33762.0,67,106,6,4642.0,2
35860.0,53,49,4,4648.0,2
36921.0,61,38,5,4648.0,2
92859.0,34,2077,21,4648.0,1
65104.0,50,1053,15,4648.0,1
86111.0,64,1385,22,4648.0,1
68352.0,52,871,22,4648.0,1
41883.0,38,312,9,4648.0,2
59809.0,50,877,12,4648.0,0
23957.0,51,68,5,4648.0,2
38547.0,45,22,3,4648.0,2
35688.0,53,211,9,4648.0,2
49605.0,60,127,7,4648.0,2
59354.0,73,459,15,4648.0,0
65747.0,57,460,15,4281.0,0
46344.0,54,429,13,4648.0,0
34176.0,38,89,7,4126.0,0
61010.0,74,1021,24,4942.0,1
69372.0,77,1381,20,4648.0,1
49967.0,68,306,12,4611.0,0
60199.0,48,18,3,4487.0,0
55375.0,49,162,8,4648.0,2
80317.0,71,1231,17,4648.0,1
30523.0,68,13,3,4823.0,2
70356.0,81,1706,25,5064.0,1
23228.0,42,121,7,4344.0,2
74165.0,51,1293,19,4825.0,1
157243.0,53,1608,22,4462.0,1
43482.0,60,88,6,4648.0,2
62551.0,73,421,17,4648.0,0
52332.0,67,259,11,4648.0,0
66951.0,38,1117,14,4788.0,1
26091.0,69,89,6,4648.0,2
33456.0,61,36,4,4648.0,2
28718.0,44,57,5,4648.0,2
50447.0,56,148,7,4648.0,2
53537.0,67,93,6,4648.0,0
52074.0,59,119,6,4371.0,0
80427.0,51,1835,27,4852.0,1
83837.0,78,1318,24,4648.0,1
38853.0,56,45,5,4648.0,2
38285.0,67,10,3,4648.0,2
51650.0,50,191,9,4156.0,0
16248.0,38,57,6,4187.0,0
66835.0,80,1033,23,4648.0,1
30477.0,42,66,5,4648.0,2
28249.0,65,43,5,4648.0,2
25271.0,43,50,4,5063.0,2
32303.0,56,39,5,4250.0,0
61286.0,60,608,16,4791.0,1
74068.0,50,1581,23,4648.0,1
45759.0,62,68,5,4648.0,2
24882.0,48,80,4,4943.0,2
66973.0,37,1282,27,4648.0,1
36640.0,126,65,5,4648.0,0
38872.0,38,91,6,4648.0,2
51148.0,53,315,12,4648.0,0
31353.0,49,31,4,4648.0,2
69661.0,46,834,22,4648.0,1
80067.0,72,1600,16,4648.0,1
86718.0,72,1270,16,4648.0,1
46854.0,53,263,9,4648.0,2
69142.0,74,535,16,4648.0,0
75922.0,58,1295,17,4575.0,1
63693.0,48,1150,26,4648.0,1
102160.0,49,1240,26,5154.0,1
40637.0,61,38,4,4648.0,2
18890.0,42,35,3,4911.0,2
29604.0,38,53,4,4606.0,2
48721.0,63,293,11,4648.0,0
44794.0,60,65,5,4247.0,0
64497.0,72,1804,24,4913.0,1
46097.0,70,241,10,4648.0,0
77972.0,72,1101,19,4648.0,1
44377.0,58,264,11,5065.0,2
46014.0,52,541,16,4648.0,0
70951.0,41,1198,16,4735.0,1
41443.0,49,482,14,4461.0,0
52195.0,48,17,3,4126.0,0
83790.0,78,1615,24,4648.0,1
44551.0,72,285,10,4648.0,0
69508.0,46,1135,26,4648.0,1
45204.0,38,114,6,4157.0,0
72460.0,57,1047,15,4648.0,1
77622.0,56,714,20,4648.0,1
30732.0,46,185,9,4709.0,2
63887.0,64,1245,27,4974.0,1
42011.0,48,189,8,4648.0,2
51369.0,50,576,14,4648.0,0
51537.0,74,1103,15,4940.0,1
79930.0,54,1753,16,4975.0,1
34320.0,40,17,3,4648.0,2
37070.0,60,433,14,4648.0,0
81975.0,64,1588,13,4709.0,1
38590.0,55,22,3,4648.0,2
15033.0,75,19,4,4648.0,2
62745.0,61,1117,26,4648.0,1
22212.0,51,69,6,4575.0,2
23661.0,44,23,4,4728.0,2
79761.0,68,605,18,4730.0,1
7500.0,53,57,7,4648.0,2
60182.0,133,22,3,4648.0,0
73455.0,58,2088,21,4648.0,1
64961.0,68,1009,14,4648.0,1
22804.0,55,26,4,4648.0,2
73687.0,36,1627,21,4648.0,1
61074.0,68,1102,24,4648.0,1
31686.0,62,17,4,4339.0,0
80134.0,54,1690,14,4648.0,1
75027.0,73,1390,19,4586.0,1
67546.0,38,2126,19,4648.0,1
65176.0,57,1531,21,4648.0,1
31160.0,51,64,5,4648.0,2
29938.0,41,26,4,4648.0,2
102692.0,52,1112,28,4706.0,1
26490.0,68,210,9,4648.0,2
75702.0,59,1148,21,4648.0,1
30899.0,52,33,4,4648.0,2
63342.0,65,1101,16,4648.0,1
45989.0,62,322,12,4648.0,0
18701.0,62,44,6,4734.0,2
40737.0,69,17,3,4606.0,2
15287.0,47,31,4,4912.0,2
